N.I.F.;Nombre 1;Nombre 2;VMA;;;;;
8000616224;CENTRO DE RAYOS X Y ECOGRAFIA LTDA;;9151;;;;;
8000617659;ESE HOSPITAL NUESTRA SENORA DEL PERPETUO;PETUO SOCORRO;9152;;;;;
8000645434;HOSPITAL INTEGRADO SABANA DE TORRES SANT;;9154;;;;;
8000653955;EMPRESA SOCIAL DEL ESTADO HOSPITAL TOBIA;TOBIAS PUERTA;9155;;;;;
8000675151;CLINICA LA MILAGROSA S A;;9185;;;;;
8000676056;CENTRO CARDIOLOGICO DE BOGOTA LTDA;;9186;;;;;
8000679082;RADIOTERAPIA ONCOLOGIA MARLY S A;;9187;;;;;
8000741126;CLINICA ZAYMA LTDA;;9196;;;;;
8000749961;CLINICA DE CIRUGIA OCULAR LTDA;;9201;;;;;
8000756501;ESE HOSPITAL SANTO TOMAS;;9206;;;;;
8000776421;AUDIOEQUIPOS SAS;;9208;;;;;
8000805868;ESE HOSPITAL SAN JUAN DE DIOS;;9209;;;;;
8000824464;INSTITUTO DEL SISTEMA NERVIOSO DE RISARA;ISARALDA S A S;9213;;;;;
8000842062;EMPRESA SOCIAL DEL ESTADO INSTITUTO;DE SALUD DE BUCARAMANGA;9216;;;;;
8000843623;E S E  HOSPITAL CIVIL DE IPIALES;;9217;;;;;
8000858833;LABORATORIO DE ORTESIS Y PROTESIS GILETE;;9221;;;;;
8000893640;INSTITUTO DE CORNEA S A S;;9229;;;;;
8000907494;CLINICA PIEDECUESTA S.A.;;9231;;;;;
8000996521;CLINICA LA CAROLINA S A;;9256;;;;;
8000998605;E.S.E HOSPITAL SAN RAFAEL;;9259;;;;;
8001010228;E.S.E. HOSP. NUESTRA SEÑORA DEL PILAR-BA;;9262;;;;;
8001017289;RADIOLOGOS ESPECIALIZADOS DE BUCARAMANGA;MANGA S A;9264;;;;;
8001124149;CENTRO MEDICO ANGEL LIMITADA;;9281;;;;;
8001133865;CARDIOLOGICAS LTDA;;9285;;;;;
8001142861;ESE HOSPITAL SAN CAMILO DE LELIS;;9287;;;;;
8001167198;HOSPITAL ESPECIALIZADO GRANJA INTEGRAL E;RAL E S E LERIDA TOLIMA;9290;;;;;
